Site,Species_Code,Species,Date,Year,Month,Day,Flagged_Count,Percent_Flagged_Count,Num_Count,Min_Count,Max_Count,Total_Count,Median_Count
1,G0,Other grasshoppers,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/26/00,2000,8,26,0,0,10,0,2,3,0
1,G2,Paroxya clavuliger,8/26/00,2000,8,26,0,0,10,0,3,11,1
1,G3,Orphulella pelidna,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G4,Mermiria intertexta,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/21/01,2001,8,21,0,0,10,0,1,1,0
1,G2,Paroxya clavuliger,8/21/01,2001,8,21,0,0,10,0,3,14,1
1,G3,Orphulella pelidna,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G4,Mermiria intertexta,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/8/02,2002,8,8,0,0,10,0,8,19,1
1,G2,Paroxya clavuliger,8/8/02,2002,8,8,0,0,10,0,10,28,2
1,G3,Orphulella pelidna,8/8/02,2002,8,8,0,0,10,0,1,2,0
1,G4,Mermiria intertexta,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/15/03,2003,8,15,0,0,8,0,3,6,0
1,G2,Paroxya clavuliger,8/15/03,2003,8,15,0,0,8,1,6,24,3
1,G3,Orphulella pelidna,8/15/03,2003,8,15,0,0,8,0,1,1,0
1,G4,Mermiria intertexta,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/17/04,2004,8,17,0,0,8,0,1,1,0
1,G2,Paroxya clavuliger,8/17/04,2004,8,17,0,0,8,0,5,15,2
1,G3,Orphulella pelidna,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/15/05,2005,8,15,0,0,8,0,6,6,0
1,G1,Orchelimum spp.,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/15/05,2005,8,15,0,0,8,0,3,14,2
1,G3,Orphulella pelidna,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/3/06,2006,8,3,0,0,8,0,1,1,0
1,G1,Orchelimum spp.,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/3/06,2006,8,3,0,0,8,0,1,4,1
1,G3,Orphulella pelidna,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/30/07,2007,7,30,0,0,8,0,1,1,0
1,G1,Orchelimum spp.,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,7/30/07,2007,7,30,0,0,8,0,1,2,0
1,G3,Orphulella pelidna,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G6,Romalea guttatus,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/12/08,2008,8,12,0,0,8,0,1,1,0
1,G1,Orchelimum spp.,8/12/08,2008,8,12,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/12/08,2008,8,12,0,0,8,0,2,5,1
1,G3,Orphulella pelidna,8/12/08,2008,8,12,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/12/08,2008,8,12,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/12/08,2008,8,12,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/12/08,2008,8,12,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/11/09,2009,8,11,0,0,8,0,2,6,1
1,G3,Orphulella pelidna,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/11/09,2009,8,11,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/26/10,2010,8,26,0,0,8,0,1,4,1
1,G3,Orphulella pelidna,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/26/10,2010,8,26,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,7/26/11,2011,7,26,0,0,8,0,5,21,3
1,G3,Orphulella pelidna,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G6,Romalea guttatus,7/26/11,2011,7,26,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/13/12,2012,8,13,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/13/12,2012,8,13,0,0,8,0,3,15,2
1,G2,Paroxya clavuliger,8/13/12,2012,8,13,0,0,8,0,5,10,1
1,G3,Orphulella pelidna,8/13/12,2012,8,13,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/13/12,2012,8,13,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/13/12,2012,8,13,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/13/12,2012,8,13,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/1/13,2013,8,1,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/1/13,2013,8,1,0,0,8,0,9,38,5
1,G2,Paroxya clavuliger,8/1/13,2013,8,1,0,0,8,0,9,40,5
1,G3,Orphulella pelidna,8/1/13,2013,8,1,0,0,8,0,1,1,0
1,G4,Mermiria intertexta,8/1/13,2013,8,1,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/1/13,2013,8,1,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/1/13,2013,8,1,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/4/14,2014,8,4,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/4/14,2014,8,4,0,0,8,1,18,59,6
1,G2,Paroxya clavuliger,8/4/14,2014,8,4,0,0,8,0,4,9,1
1,G3,Orphulella pelidna,8/4/14,2014,8,4,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/4/14,2014,8,4,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/4/14,2014,8,4,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/4/14,2014,8,4,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/28/15,2015,7,28,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,7/28/15,2015,7,28,0,0,8,0,7,18,2
1,G2,Paroxya clavuliger,7/28/15,2015,7,28,0,0,8,0,8,24,3
1,G3,Orphulella pelidna,7/28/15,2015,7,28,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/28/15,2015,7,28,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/28/15,2015,7,28,0,0,8,0,0,0,0
1,G6,Romalea guttatus,7/28/15,2015,7,28,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/17/16,2016,8,17,0,0,8,0,5,15,2
1,G3,Orphulella pelidna,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/17/16,2016,8,17,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/1/17,2017,8,1,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/1/17,2017,8,1,0,0,8,0,6,24,3
1,G2,Paroxya clavuliger,8/1/17,2017,8,1,0,0,8,0,10,33,3
1,G3,Orphulella pelidna,8/1/17,2017,8,1,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/1/17,2017,8,1,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/1/17,2017,8,1,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/1/17,2017,8,1,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/31/18,2018,7,31,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,7/31/18,2018,7,31,0,0,8,5,11,55,6
1,G2,Paroxya clavuliger,7/31/18,2018,7,31,0,0,8,2,10,40,4
1,G3,Orphulella pelidna,7/31/18,2018,7,31,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/31/18,2018,7,31,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/31/18,2018,7,31,0,0,8,0,0,0,0
1,G6,Romalea guttatus,7/31/18,2018,7,31,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/7/19,2019,8,7,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/7/19,2019,8,7,0,0,8,0,1,1,0
1,G2,Paroxya clavuliger,8/7/19,2019,8,7,0,0,8,0,3,6,1
1,G3,Orphulella pelidna,8/7/19,2019,8,7,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/7/19,2019,8,7,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/7/19,2019,8,7,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/7/19,2019,8,7,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/30/20,2020,7,30,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,7/30/20,2020,7,30,0,0,8,0,9,25,2
1,G2,Paroxya clavuliger,7/30/20,2020,7,30,0,0,8,2,10,45,5
1,G3,Orphulella pelidna,7/30/20,2020,7,30,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/30/20,2020,7,30,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/30/20,2020,7,30,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/2/21,2021,8,2,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/2/21,2021,8,2,0,0,8,0,2,3,0
1,G2,Paroxya clavuliger,8/2/21,2021,8,2,0,0,8,0,14,58,7
1,G3,Orphulella pelidna,8/2/21,2021,8,2,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/2/21,2021,8,2,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/2/21,2021,8,2,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G1,Orchelimum spp.,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G2,Paroxya clavuliger,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G3,Orphulella pelidna,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G4,Mermiria intertexta,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G5,Schistocerca obscura,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G6,Romalea guttatus,8/27/01,2001,8,27,0,0,10,0,0,0,0
2,G0,Other grasshoppers,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G1,Orchelimum spp.,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G2,Paroxya clavuliger,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G3,Orphulella pelidna,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G4,Mermiria intertexta,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G5,Schistocerca obscura,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G6,Romalea guttatus,8/21/02,2002,8,21,0,0,10,0,0,0,0
2,G0,Other grasshoppers,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/12/03,2003,8,12,0,0,8,0,1,1,0
2,G6,Romalea guttatus,8/12/03,2003,8,12,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/16/04,2004,8,16,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/15/05,2005,8,15,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/1/06,2006,8,1,0,0,8,0,0,0,0
2,G0,Other grasshoppers,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G6,Romalea guttatus,7/30/07,2007,7,30,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/11/08,2008,8,11,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/11/09,2009,8,11,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/26/10,2010,8,26,0,0,8,0,0,0,0
2,G0,Other grasshoppers,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G6,Romalea guttatus,7/26/11,2011,7,26,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/13/12,2012,8,13,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/1/13,2013,8,1,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/4/14,2014,8,4,0,0,8,0,0,0,0
2,G0,Other grasshoppers,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G6,Romalea guttatus,7/28/15,2015,7,28,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/17/16,2016,8,17,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/1/17,2017,8,1,0,0,8,0,0,0,0
2,G0,Other grasshoppers,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G6,Romalea guttatus,7/31/18,2018,7,31,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/7/19,2019,8,7,0,0,8,0,1,4,1
2,G2,Paroxya clavuliger,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G6,Romalea guttatus,8/7/19,2019,8,7,0,0,8,0,0,0,0
2,G0,Other grasshoppers,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G2,Paroxya clavuliger,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,7/30/20,2020,7,30,0,0,8,0,0,0,0
2,G0,Other grasshoppers,8/2/21,2021,8,2,0,0,8,0,0,0,0
2,G1,Orchelimum spp.,8/2/21,2021,8,2,0,0,8,0,1,1,0
2,G2,Paroxya clavuliger,8/2/21,2021,8,2,0,0,8,0,0,0,0
2,G3,Orphulella pelidna,8/2/21,2021,8,2,0,0,8,0,0,0,0
2,G4,Mermiria intertexta,8/2/21,2021,8,2,0,0,8,0,0,0,0
2,G5,Schistocerca obscura,8/2/21,2021,8,2,0,0,8,0,0,0,0
